συνέβαιναν	συνέβαιναν	POS=0;SRC_LABEL=5;TGT_LABEL=5
συνέβαιναν	συνέβαινε	POS=0;SRC_LABEL=5;TGT_LABEL=12
συνέβαινε	συνέβαιναν	POS=0;SRC_LABEL=12;TGT_LABEL=5
συνέβαινε	συνέβαινε	POS=0;SRC_LABEL=12;TGT_LABEL=12
ἀκέραιοι	ἀκέραιοι	POS=0;SRC_LABEL=6;TGT_LABEL=6
ἀκέραιοι	ἀκέραιον	POS=0;SRC_LABEL=6;TGT_LABEL=1
ἀκέραιον	ἀκέραιοι	POS=0;SRC_LABEL=1;TGT_LABEL=6
ἀκέραιον	ἀκέραιον	POS=0;SRC_LABEL=1;TGT_LABEL=1
χιλίας	χιλίας	POS=0;SRC_LABEL=11;TGT_LABEL=11
χιλίας	χιλίων	POS=0;SRC_LABEL=11;TGT_LABEL=8
χιλίων	χιλίας	POS=0;SRC_LABEL=8;TGT_LABEL=11
χιλίων	χιλίων	POS=0;SRC_LABEL=8;TGT_LABEL=8
ψεύτην	ψεύτην	POS=0;SRC_LABEL=1;TGT_LABEL=1
ψεύτην	ψεύτης	POS=0;SRC_LABEL=1;TGT_LABEL=2
ψεύτης	ψεύτην	POS=0;SRC_LABEL=2;TGT_LABEL=1
ψεύτης	ψεύτης	POS=0;SRC_LABEL=2;TGT_LABEL=2
πρεσβυτέρας	πρεσβυτέρας	POS=0;SRC_LABEL=11;TGT_LABEL=11
πρεσβυτέρας	πρεσβυτέρου	POS=0;SRC_LABEL=11;TGT_LABEL=15
πρεσβυτέρας	πρεσβυτέρους	POS=0;SRC_LABEL=11;TGT_LABEL=7
πρεσβυτέρας	πρεσβυτέρων	POS=0;SRC_LABEL=11;TGT_LABEL=8
πρεσβυτέρου	πρεσβυτέρας	POS=0;SRC_LABEL=15;TGT_LABEL=11
πρεσβυτέρου	πρεσβυτέρου	POS=0;SRC_LABEL=15;TGT_LABEL=15
πρεσβυτέρου	πρεσβυτέρους	POS=0;SRC_LABEL=15;TGT_LABEL=7
πρεσβυτέρου	πρεσβυτέρων	POS=0;SRC_LABEL=15;TGT_LABEL=8
πρεσβυτέρους	πρεσβυτέρας	POS=0;SRC_LABEL=7;TGT_LABEL=11
πρεσβυτέρους	πρεσβυτέρου	POS=0;SRC_LABEL=7;TGT_LABEL=15
πρεσβυτέρους	πρεσβυτέρους	POS=0;SRC_LABEL=7;TGT_LABEL=7
πρεσβυτέρους	πρεσβυτέρων	POS=0;SRC_LABEL=7;TGT_LABEL=8
πρεσβυτέρων	πρεσβυτέρας	POS=0;SRC_LABEL=8;TGT_LABEL=11
πρεσβυτέρων	πρεσβυτέρου	POS=0;SRC_LABEL=8;TGT_LABEL=15
πρεσβυτέρων	πρεσβυτέρους	POS=0;SRC_LABEL=8;TGT_LABEL=7
πρεσβυτέρων	πρεσβυτέρων	POS=0;SRC_LABEL=8;TGT_LABEL=8
κύριοι	κύριοι	POS=0;SRC_LABEL=13;TGT_LABEL=13
κύριοι	κύριος	POS=0;SRC_LABEL=13;TGT_LABEL=2
κύριοι	κύριον	POS=0;SRC_LABEL=13;TGT_LABEL=1
κύριοι	κύριε	POS=0;SRC_LABEL=13;TGT_LABEL=12
κύριος	κύριοι	POS=0;SRC_LABEL=2;TGT_LABEL=13
κύριος	κύριος	POS=0;SRC_LABEL=2;TGT_LABEL=2
κύριος	κύριον	POS=0;SRC_LABEL=2;TGT_LABEL=1
κύριος	κύριε	POS=0;SRC_LABEL=2;TGT_LABEL=12
κύριον	κύριοι	POS=0;SRC_LABEL=1;TGT_LABEL=13
κύριον	κύριος	POS=0;SRC_LABEL=1;TGT_LABEL=2
κύριον	κύριον	POS=0;SRC_LABEL=1;TGT_LABEL=1
κύριον	κύριε	POS=0;SRC_LABEL=1;TGT_LABEL=12
κύριε	κύριοι	POS=0;SRC_LABEL=12;TGT_LABEL=13
κύριε	κύριος	POS=0;SRC_LABEL=12;TGT_LABEL=2
κύριε	κύριον	POS=0;SRC_LABEL=12;TGT_LABEL=1
κύριε	κύριε	POS=0;SRC_LABEL=12;TGT_LABEL=12
βρῆκαν	βρῆκαν	POS=0;SRC_LABEL=5;TGT_LABEL=5
βρῆκαν	βρῆκε	POS=0;SRC_LABEL=5;TGT_LABEL=12
βρῆκε	βρῆκαν	POS=0;SRC_LABEL=12;TGT_LABEL=5
βρῆκε	βρῆκε	POS=0;SRC_LABEL=12;TGT_LABEL=12
κόκκινα	κόκκινα	POS=0;SRC_LABEL=0;TGT_LABEL=0
κόκκινα	κόκκινο	POS=0;SRC_LABEL=0;TGT_LABEL=10
κόκκινα	κόκκινον	POS=0;SRC_LABEL=0;TGT_LABEL=1
κόκκινα	κόκκινος	POS=0;SRC_LABEL=0;TGT_LABEL=2
κόκκινο	κόκκινα	POS=0;SRC_LABEL=10;TGT_LABEL=0
κόκκινο	κόκκινο	POS=0;SRC_LABEL=10;TGT_LABEL=10
κόκκινο	κόκκινον	POS=0;SRC_LABEL=10;TGT_LABEL=1
κόκκινο	κόκκινος	POS=0;SRC_LABEL=10;TGT_LABEL=2
κόκκινον	κόκκινα	POS=0;SRC_LABEL=1;TGT_LABEL=0
κόκκινον	κόκκινο	POS=0;SRC_LABEL=1;TGT_LABEL=10
κόκκινον	κόκκινον	POS=0;SRC_LABEL=1;TGT_LABEL=1
κόκκινον	κόκκινος	POS=0;SRC_LABEL=1;TGT_LABEL=2
κόκκινος	κόκκινα	POS=0;SRC_LABEL=2;TGT_LABEL=0
κόκκινος	κόκκινο	POS=0;SRC_LABEL=2;TGT_LABEL=10
κόκκινος	κόκκινον	POS=0;SRC_LABEL=2;TGT_LABEL=1
κόκκινος	κόκκινος	POS=0;SRC_LABEL=2;TGT_LABEL=2
μίλησα	μίλησα	POS=0;SRC_LABEL=0;TGT_LABEL=0
μίλησα	μίλησαν	POS=0;SRC_LABEL=0;TGT_LABEL=5
μίλησα	μίλησε	POS=0;SRC_LABEL=0;TGT_LABEL=12
μίλησαν	μίλησα	POS=0;SRC_LABEL=5;TGT_LABEL=0
μίλησαν	μίλησαν	POS=0;SRC_LABEL=5;TGT_LABEL=5
μίλησαν	μίλησε	POS=0;SRC_LABEL=5;TGT_LABEL=12
μίλησε	μίλησα	POS=0;SRC_LABEL=12;TGT_LABEL=0
μίλησε	μίλησαν	POS=0;SRC_LABEL=12;TGT_LABEL=5
μίλησε	μίλησε	POS=0;SRC_LABEL=12;TGT_LABEL=12
ἡσαΐα	ἡσαΐα	POS=0;SRC_LABEL=0;TGT_LABEL=0
ἡσαΐα	ἡσαΐας	POS=0;SRC_LABEL=0;TGT_LABEL=11
ἡσαΐα	ἡσαΐαν	POS=0;SRC_LABEL=0;TGT_LABEL=5
ἡσαΐας	ἡσαΐα	POS=0;SRC_LABEL=11;TGT_LABEL=0
ἡσαΐας	ἡσαΐας	POS=0;SRC_LABEL=11;TGT_LABEL=11
ἡσαΐας	ἡσαΐαν	POS=0;SRC_LABEL=11;TGT_LABEL=5
ἡσαΐαν	ἡσαΐα	POS=0;SRC_LABEL=5;TGT_LABEL=0
ἡσαΐαν	ἡσαΐας	POS=0;SRC_LABEL=5;TGT_LABEL=11
ἡσαΐαν	ἡσαΐαν	POS=0;SRC_LABEL=5;TGT_LABEL=5
καταλλήλου	καταλλήλου	POS=0;SRC_LABEL=0;TGT_LABEL=0
καταλλήλου	καταλλήλους	POS=0;SRC_LABEL=0;TGT_LABEL=2
καταλλήλους	καταλλήλου	POS=0;SRC_LABEL=2;TGT_LABEL=0
καταλλήλους	καταλλήλους	POS=0;SRC_LABEL=2;TGT_LABEL=2
ἀνάγκας	ἀνάγκας	POS=0;SRC_LABEL=11;TGT_LABEL=11
ἀνάγκας	ἀνάγκη	POS=0;SRC_LABEL=11;TGT_LABEL=14
ἀνάγκας	ἀνάγκην	POS=0;SRC_LABEL=11;TGT_LABEL=4
ἀνάγκη	ἀνάγκας	POS=0;SRC_LABEL=14;TGT_LABEL=11
ἀνάγκη	ἀνάγκη	POS=0;SRC_LABEL=14;TGT_LABEL=14
ἀνάγκη	ἀνάγκην	POS=0;SRC_LABEL=14;TGT_LABEL=4
ἀνάγκην	ἀνάγκας	POS=0;SRC_LABEL=4;TGT_LABEL=11
ἀνάγκην	ἀνάγκη	POS=0;SRC_LABEL=4;TGT_LABEL=14
ἀνάγκην	ἀνάγκην	POS=0;SRC_LABEL=4;TGT_LABEL=4
ράβδον	ράβδον	POS=0;SRC_LABEL=1;TGT_LABEL=1
ράβδον	ράβδος	POS=0;SRC_LABEL=1;TGT_LABEL=2
ράβδος	ράβδον	POS=0;SRC_LABEL=2;TGT_LABEL=1
ράβδος	ράβδος	POS=0;SRC_LABEL=2;TGT_LABEL=2
ἠλί	ἠλί	POS=0;SRC_LABEL=0;TGT_LABEL=0
ἠλί	ἠλία	POS=0;SRC_LABEL=0;TGT_LABEL=0
ἠλί	ἠλίαν	POS=0;SRC_LABEL=0;TGT_LABEL=5
ἠλί	ἠλίας	POS=0;SRC_LABEL=0;TGT_LABEL=11
ἠλία	ἠλί	POS=0;SRC_LABEL=0;TGT_LABEL=0
ἠλία	ἠλία	POS=0;SRC_LABEL=0;TGT_LABEL=0
ἠλία	ἠλίαν	POS=0;SRC_LABEL=0;TGT_LABEL=5
ἠλία	ἠλίας	POS=0;SRC_LABEL=0;TGT_LABEL=11
ἠλίαν	ἠλί	POS=0;SRC_LABEL=5;TGT_LABEL=0
ἠλίαν	ἠλία	POS=0;SRC_LABEL=5;TGT_LABEL=0
ἠλίαν	ἠλίαν	POS=0;SRC_LABEL=5;TGT_LABEL=5
ἠλίαν	ἠλίας	POS=0;SRC_LABEL=5;TGT_LABEL=11
ἠλίας	ἠλί	POS=0;SRC_LABEL=11;TGT_LABEL=0
ἠλίας	ἠλία	POS=0;SRC_LABEL=11;TGT_LABEL=0
ἠλίας	ἠλίαν	POS=0;SRC_LABEL=11;TGT_LABEL=5
ἠλίας	ἠλίας	POS=0;SRC_LABEL=11;TGT_LABEL=11
ἀνοησία	ἀνοησία	POS=0;SRC_LABEL=0;TGT_LABEL=0
ἀνοησία	ἀνοησίαν	POS=0;SRC_LABEL=0;TGT_LABEL=5
ἀνοησία	ἀνοησίες	POS=0;SRC_LABEL=0;TGT_LABEL=9
