src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
fürchtet,fürchtest,0_6,V;IND;PRS;2;PL,0_10,V;IND;PRS;2;SG,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg - verb;prs;p2;pl,verb;pri;p2;sg - verb;prs;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
neigest,neigten,0_2,V;SBJV;PRS;2;SG,0_11,V;SBJV;PST;3;PL,verb;prs;p2;sg,verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,ERR_TGT_SLOT_ERROR
Welcher,Welches,0_5,ADJ;GEN;SG,0_8,ADJ;ACC;SG,prn;itg;m;pl;gen - prn;itg;m;sg;nom - prn;itg;nt;pl;gen - prn;itg;f;pl;gen - prn;itg;f;sg;gen - prn;itg;f;sg;dat,prn;itg;m;sg;gen - prn;itg;nt;sg;nom - prn;itg;nt;sg;gen - prn;itg;nt;sg;acc,SRC_SLOT_ERROR;TGT_SLOT_ERROR
Ai,Ais,1_0,ADJ,1_2,DET;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
lasse,lasset,0_3,V;SBJV;PRS;1;SG,0_9,V;SBJV;PRS;2;PL,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;prs;p2;pl,ERR_SRC_SLOT_ERROR
sollten,soll,0_11,V;SBJV;PST;3;PL,0_12,N;NOM;SG,verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,n;nt;sg;nom;lower - n;nt;sg;dat;lower - n;nt;sg;acc;lower - n;nt;sg;nom;lower;compound-R - n;nt;sg;dat;lower;compound-R - n;nt;sg;acc;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L - verb;pri;p1;sg - verb;pri;p3;sg,MAPPED_POS_PAIR_ERROR
Korinth,Korinther,0_12,N;NOM;SG,0_5,ADJ;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
schlügen,schlüget,0_0,N;DAT;PL,0_9,V;SBJV;PRS;2;PL,verb;pis;p1;pl - verb;pis;p3;pl,verb;pis;p2;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
anriefen,anriefst,0_0,N;DAT;PL,0_10,V;IND;PRS;2;SG,verb;sep;fs;pii;p1;pl - verb;sep;fs;pii;p3;pl - verb;sep;fs;pis;p1;pl - verb;sep;fs;pis;p3;pl,verb;sep;fs;pii;p2;sg,ERR_SRC_SLOT_ERROR
mangelt,mangeln,0_6,V;IND;PRS;2;PL,0_0,N;DAT;PL,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg - verb;prs;p2;pl,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,ERR_SRC_SLOT_ERROR
fülle,füllten,0_3,V;SBJV;PRS;1;SG,0_11,V;SBJV;PST;3;PL,n;f;sg;nom;lower - n;f;sg;gen;lower - n;f;sg;dat;lower - n;f;sg;acc;lower - verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg - n;f;sg;nom;lower;compound-R - n;f;sg;gen;lower;compound-R - n;f;sg;dat;lower;compound-R - n;f;sg;acc;lower;compound-R - n;f;sg;lower;cmp;compound-only-L,verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,ERR_TGT_SLOT_ERROR
an,an,1_1,ADJ;ACC;PL,1_1,ADJ;ACC;PL,pr;dat - pr;acc,pr;dat - pr;acc,SRC_POS_ERROR TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
ganzer,ganzem,0_5,ADJ;GEN;SG,0_7,ADJ;DAT;SG,adj;sint;m;sg;nom;st - adj;sint;m;sg;nom;mix - adj;sint;m;pl;gen;st - adj;sint;f;sg;gen;st - adj;sint;f;sg;dat;st - adj;sint;f;pl;gen;st,adj;sint;m;sg;dat;st - adj;sint;nt;sg;dat;st,ERR_SRC_SLOT_ERROR
verborgenem,verborgener,0_7,ADJ;DAT;SG,0_5,ADJ;GEN;SG,verb;pp - adj;sint;m;sg;dat;st - adj;sint;nt;sg;dat;st,adj;sint;comp;attr - adj;sint;comp;pred - adj;sint;m;sg;nom;st - adj;sint;m;sg;nom;mix - adj;sint;m;pl;gen;st - adj;sint;f;sg;gen;st - adj;sint;f;sg;dat;st - adj;sint;f;pl;gen;st,ERR_TGT_SLOT_ERROR
räucherten,räucherte,0_11,V;SBJV;PST;3;PL,0_4,V;SBJV;PST;1;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
erhöht,erhöhte,0_6,V;IND;PRS;2;PL,0_4,V;SBJV;PST;1;SG,verb;pp - verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,ERR_TGT_SLOT_ERROR
Angesichts,Angesicht,0_1,N;SG;COMPOUND,0_12,N;NOM;SG,pr;gen - n;nt;sg;gen - n;nt;sg;cmp;compound-only-L - n;nt;sg;gen;lower - n;nt;sg;gen;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L,n;nt;sg;nom - n;nt;sg;dat - n;nt;sg;acc - n;nt;sg;cmp;compound-only-L - n;nt;sg;nom;lower - n;nt;sg;dat;lower - n;nt;sg;acc;lower - n;nt;sg;nom;lower;compound-R - n;nt;sg;dat;lower;compound-R - n;nt;sg;acc;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L,ERR_TGT_SLOT_ERROR
klaget,klagt,0_9,V;SBJV;PRS;2;PL,0_6,V;IND;PRS;2;PL,verb;prs;p2;pl,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg,ERR_TGT_SLOT_ERROR
wohne,wohnst,0_3,V;SBJV;PRS;1;SG,0_10,V;IND;PRS;2;SG,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;pri;p2;sg,ERR_SRC_SLOT_ERROR
versöhne,versöhnst,0_3,V;SBJV;PRS;1;SG,0_10,V;IND;PRS;2;SG,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;pri;p2;sg,ERR_SRC_SLOT_ERROR
wehte,wehen,0_4,V;SBJV;PST;1;SG,0_0,N;DAT;PL,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;sg;lower;cmp;compound-only-L - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,MAPPED_POS_PAIR_ERROR
wollt,wollte,0_6,V;IND;PRS;2;PL,0_4,V;SBJV;PST;1;SG,verb;pri;p2;pl,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,C
dränge,drängten,0_3,V;SBJV;PRS;1;SG,0_11,V;SBJV;PST;3;PL,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;pis;p1;pl - verb;pis;p3;pl - verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl,ERR_SRC_SLOT_ERROR
bedrohte,bedrohen,1_4,V;IND;PST;1;SG,1_1,ADJ;ACC;PL,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
