src word,tgt word,src slot,src predicted,tgt slot,tgt predicted,annotation 1,annotation 2
aldeas,aldea,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,
aldea,aldeas,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,

serio,seria,2_0,V;SBJV;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
seria,serio,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,

desátenlo,desátenlos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,
desátenlos,desátenlo,2_5,V;SBJV;FUT;1;PL,2_0,V;SBJV;PRS;2;PL,

dieras,dieran,2_2,V.PTCP;PST;FEM;PL,2_4,V;IND;PRS;2;PL,
dieras,diera,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,
dieran,dieras,2_4,V;IND;PRS;2;PL,2_2,V.PTCP;PST;FEM;PL,
dieran,diera,2_4,V;IND;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
diera,dieras,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,
diera,dieran,2_6,V;SBJV;PRS;1;SG,2_4,V;IND;PRS;2;PL,

demuestre,demuestro,2_0,V;SBJV;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
demuestro,demuestre,2_0,V;SBJV;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
demuestre,demuestren,2_0,V;SBJV;PRS;2;PL,2_1,V;SBJV;PRS;1;PL,
demuestro,demuestren,2_0,V;SBJV;PRS;2;PL,2_1,V;SBJV;PRS;1;PL,
demuestre,demuestran,2_0,V;SBJV;PRS;2;PL,2_4,V;IND;PRS;2;PL,
demuestro,demuestran,2_0,V;SBJV;PRS;2;PL,2_4,V;IND;PRS;2;PL,
demuestre,demuestra,2_0,V;SBJV;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
demuestro,demuestra,2_0,V;SBJV;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
demuestren,demuestre,2_1,V;SBJV;PRS;1;PL,2_0,V;SBJV;PRS;2;PL,
demuestren,demuestro,2_1,V;SBJV;PRS;1;PL,2_0,V;SBJV;PRS;2;PL,
demuestren,demuestran,2_1,V;SBJV;PRS;1;PL,2_4,V;IND;PRS;2;PL,
demuestren,demuestra,2_1,V;SBJV;PRS;1;PL,2_6,V;SBJV;PRS;1;SG,
demuestran,demuestre,2_4,V;IND;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
demuestran,demuestro,2_4,V;IND;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
demuestran,demuestren,2_4,V;IND;PRS;2;PL,2_1,V;SBJV;PRS;1;PL,
demuestran,demuestra,2_4,V;IND;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
demuestra,demuestre,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,
demuestra,demuestro,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,
demuestra,demuestren,2_6,V;SBJV;PRS;1;SG,2_1,V;SBJV;PRS;1;PL,
demuestra,demuestran,2_6,V;SBJV;PRS;1;SG,2_4,V;IND;PRS;2;PL,

parezcamos,parezca,2_3,V;POS;IMP;1;PL,2_6,V;SBJV;PRS;1;SG,
parezca,parezcamos,2_6,V;SBJV;PRS;1;SG,2_3,V;POS;IMP;1;PL,

cielo,cielos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,
cielos,cielo,2_5,V;SBJV;FUT;1;PL,2_0,V;SBJV;PRS;2;PL,

cabello,cabellos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,
cabellos,cabello,2_5,V;SBJV;FUT;1;PL,2_0,V;SBJV;PRS;2;PL,

estorbo,estorbos,2_0,V;SBJV;PRS;2;PL,2_5,V;SBJV;FUT;1;PL,
estorbos,estorbo,2_5,V;SBJV;FUT;1;PL,2_0,V;SBJV;PRS;2;PL,

vacíen,vacías,2_1,V;SBJV;PRS;1;PL,2_2,V.PTCP;PST;FEM;PL,
vacíen,vacía,2_1,V;SBJV;PRS;1;PL,2_6,V;SBJV;PRS;1;SG,
vacías,vacíen,2_2,V.PTCP;PST;FEM;PL,2_1,V;SBJV;PRS;1;PL,
vacías,vacía,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,
vacía,vacíen,2_6,V;SBJV;PRS;1;SG,2_1,V;SBJV;PRS;1;PL,
vacía,vacías,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,

cierre,cierro,2_0,V;SBJV;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
cierro,cierre,2_0,V;SBJV;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
cierre,cierra,2_0,V;SBJV;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
cierro,cierra,2_0,V;SBJV;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
cierra,cierre,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,
cierra,cierro,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,

ibas,iban,2_2,V.PTCP;PST;FEM;PL,2_4,V;IND;PRS;2;PL,
ibas,iba,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,
iban,ibas,2_4,V;IND;PRS;2;PL,2_2,V.PTCP;PST;FEM;PL,
iban,iba,2_4,V;IND;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
iba,ibas,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,
iba,iban,2_6,V;SBJV;PRS;1;SG,2_4,V;IND;PRS;2;PL,

fin,fino,2_0,V;SBJV;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
fino,fin,2_0,V;SBJV;PRS;2;PL,2_0,V;SBJV;PRS;2;PL,
fin,finas,2_0,V;SBJV;PRS;2;PL,2_2,V.PTCP;PST;FEM;PL,
fino,finas,2_0,V;SBJV;PRS;2;PL,2_2,V.PTCP;PST;FEM;PL,
fin,fina,2_0,V;SBJV;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
fino,fina,2_0,V;SBJV;PRS;2;PL,2_6,V;SBJV;PRS;1;SG,
finas,fin,2_2,V.PTCP;PST;FEM;PL,2_0,V;SBJV;PRS;2;PL,
finas,fino,2_2,V.PTCP;PST;FEM;PL,2_0,V;SBJV;PRS;2;PL,
finas,fina,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,
fina,fin,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,
fina,fino,2_6,V;SBJV;PRS;1;SG,2_0,V;SBJV;PRS;2;PL,
fina,finas,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,

esmeraldas,esmeralda,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,
esmeralda,esmeraldas,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,

brujerías,brujería,2_2,V.PTCP;PST;FEM;PL,2_6,V;SBJV;PRS;1;SG,
brujería,brujerías,2_6,V;SBJV;PRS;1;SG,2_2,V.PTCP;PST;FEM;PL,
